Order_ID,Customer_ID,Platform,Order_date_&_time,Delivery_Time(Minutes),Product_Category,Order_Value(INR),Customer_Feedback,Service_Rating,Delivery_Delay,Refund_Requested
ORD000001,CUST2824,JioMart,2025-03-10 19:29:30,30.0,Fruits & Vegetables,382.0,"Fast delivery, great service!",5.0,No,No
ORD000003,CUST5506,JioMart,2025-03-10 21:29:30,25.0,Beverages,599.0,Items missing from order.,2.0,No,Yes
ORD000004,CUST5012,JioMart,2025-03-10 19:29:30,42.0,Beverages,946.0,Items missing from order.,2.0,Yes,Yes
ORD000007,CUST2679,JioMart,2025-03-10 22:29:30,22.0,Personal Care,1693.0,"Fast delivery, great service!",5.0,No,No
ORD000010,CUST7912,JioMart,2025-03-10 08:29:30,51.0,Grocery,1279.0,"Very late delivery, not happy.",2.0,Yes,Yes
ORD000012,CUST1488,JioMart,2025-03-10 12:29:30,11.0,Grocery,1062.0,Excellent experience!,5.0,No,No
ORD000013,CUST2535,Blinkit,2025-03-10 08:29:30,45.0,Fruits & Vegetables,516.0,"Horrible experience, never ordering again.",1.0,Yes,Yes
ORD000014,CUST4582,JioMart,2025-03-10 19:29:30,21.0,Dairy,322.0,"Very late delivery, not happy.",2.0,No,Yes
ORD000016,CUST9279,Blinkit,2025-03-10 07:29:30,35.0,Beverages,143.0,Good quality products.,4.0,No,No
ORD000018,CUST4257,Swiggy Instamart,2025-03-10 23:29:30,27.0,Beverages,161.0,Excellent experience!,5.0,No,No
ORD000019,CUST9928,Swiggy Instamart,2025-03-10 15:29:30,34.0,Dairy,417.0,"Horrible experience, never ordering again.",1.0,No,Yes
ORD000020,CUST7873,Swiggy Instamart,2025-03-10 20:29:30,26.0,Beverages,677.0,Quick and reliable!,5.0,No,No
ORD000023,CUST5557,Swiggy Instamart,2025-03-10 01:29:30,33.0,Beverages,486.0,Good quality products.,4.0,No,No
ORD000025,CUST3615,Blinkit,2025-03-10 06:29:30,30.0,Grocery,1288.0,Delivery person was rude.,2.0,No,Yes
ORD000031,CUST6514,Swiggy Instamart,2025-03-10 08:29:30,8.0,Beverages,757.0,Excellent experience!,5.0,No,No
ORD000032,CUST2674,JioMart,2025-03-10 23:29:30,25.0,Personal Care,1651.0,Packaging could be better.,3.0,No,No
ORD000033,CUST2519,Swiggy Instamart,2025-03-10 08:29:30,24.0,Dairy,290.0,Quick and reliable!,5.0,No,No
ORD000037,CUST6635,JioMart,2025-03-10 01:29:30,23.0,Fruits & Vegetables,101.0,"Fast delivery, great service!",5.0,No,No
ORD000039,CUST1711,Blinkit,2025-03-10 09:29:30,41.0,Beverages,711.0,Wrong item delivered.,1.0,Yes,Yes
ORD000040,CUST8527,JioMart,2025-03-10 11:29:30,36.0,Dairy,632.0,Quick and reliable!,5.0,No,No
ORD000042,CUST3045,JioMart,2025-03-10 11:29:30,16.0,Beverages,409.0,"Horrible experience, never ordering again.",1.0,No,Yes
ORD000044,CUST2291,Blinkit,2025-03-10 05:29:30,39.0,Grocery,1118.0,Quick and reliable!,5.0,No,No
ORD000046,CUST6925,JioMart,2025-03-10 14:29:30,34.0,Snacks,174.0,Excellent experience!,5.0,No,No
ORD000048,CUST2139,Blinkit,2025-03-10 16:29:30,22.0,Snacks,71.0,Packaging could be better.,3.0,No,No
ORD000051,CUST5741,Swiggy Instamart,2025-03-10 04:29:30,13.0,Dairy,289.0,Quick and reliable!,5.0,No,No
ORD000052,CUST2307,Blinkit,2025-03-10 16:29:30,22.0,Grocery,774.0,"Easy to order, loved it!",5.0,No,No
ORD000053,CUST4814,Swiggy Instamart,2025-03-10 22:29:30,31.0,Beverages,917.0,Quick and reliable!,5.0,No,No
ORD000056,CUST5554,JioMart,2025-03-10 08:29:30,25.0,Fruits & Vegetables,657.0,Packaging could be better.,3.0,No,No
ORD000057,CUST8428,JioMart,2025-03-10 12:29:30,28.0,Personal Care,817.0,Good quality products.,4.0,No,No
ORD000060,CUST7065,JioMart,2025-03-10 05:29:30,22.0,Fruits & Vegetables,555.0,Packaging could be better.,3.0,No,No
ORD000064,CUST2169,Swiggy Instamart,2025-03-10 06:29:30,46.0,Dairy,772.0,"Horrible experience, never ordering again.",1.0,Yes,Yes
ORD000066,CUST9751,Swiggy Instamart,2025-03-10 11:29:30,14.0,Personal Care,1956.0,Wrong item delivered.,1.0,No,Yes
ORD000068,CUST3677,Swiggy Instamart,2025-03-10 17:29:30,20.0,Dairy,146.0,Excellent experience!,5.0,No,No
ORD000073,CUST6313,Swiggy Instamart,2025-03-10 11:29:30,35.0,Dairy,425.0,"Fast delivery, great service!",5.0,No,No
ORD000076,CUST1525,Swiggy Instamart,2025-03-10 21:29:30,39.0,Grocery,1221.0,Very satisfied with the service.,5.0,No,No
ORD000077,CUST6168,Swiggy Instamart,2025-03-10 11:29:30,36.0,Beverages,159.0,Items missing from order.,2.0,No,Yes
ORD000080,CUST2084,Swiggy Instamart,2025-03-10 15:29:30,24.0,Dairy,147.0,Very satisfied with the service.,5.0,No,No
ORD000081,CUST4456,JioMart,2025-03-10 13:29:30,39.0,Fruits & Vegetables,565.0,Very satisfied with the service.,5.0,No,No
ORD000085,CUST7482,Blinkit,2025-03-10 19:29:30,33.0,Grocery,314.0,Packaging could be better.,3.0,No,No
ORD000088,CUST5339,Blinkit,2025-03-10 05:29:30,5.0,Beverages,465.0,"Horrible experience, never ordering again.",1.0,No,Yes
ORD000089,CUST3287,Swiggy Instamart,2025-03-10 03:29:30,34.0,Personal Care,1690.0,"Fast delivery, great service!",5.0,No,No
ORD000091,CUST9830,Blinkit,2025-03-10 18:29:30,8.0,Personal Care,183.0,Very satisfied with the service.,5.0,No,No
ORD000092,CUST5304,Blinkit,2025-03-10 03:29:30,35.0,Fruits & Vegetables,288.0,"Fast delivery, great service!",5.0,No,No
ORD000094,CUST7543,JioMart,2025-03-10 22:29:30,22.0,Grocery,280.0,"Fast delivery, great service!",5.0,No,No
ORD000096,CUST4593,Blinkit,2025-03-10 13:29:30,20.0,Grocery,378.0,Packaging could be better.,3.0,No,No
ORD000099,CUST9085,Blinkit,2025-03-10 06:29:30,35.0,Beverages,364.0,"Not fresh, disappointed.",2.0,No,Yes
ORD000103,CUST3504,JioMart,2025-03-10 00:29:30,45.0,Personal Care,634.0,Delivery person was rude.,2.0,Yes,Yes
ORD000105,CUST7916,JioMart,2025-03-10 11:29:30,28.0,Beverages,391.0,Items missing from order.,2.0,No,Yes
ORD000107,CUST7304,Blinkit,2025-03-10 15:29:30,31.0,Fruits & Vegetables,367.0,Good quality products.,4.0,No,No
ORD000111,CUST5119,JioMart,2025-03-10 10:29:30,20.0,Personal Care,727.0,Delivery person was rude.,2.0,No,Yes
ORD000114,CUST9797,JioMart,2025-03-10 19:29:30,42.0,Dairy,724.0,"Very late delivery, not happy.",2.0,Yes,Yes
ORD000115,CUST5371,Blinkit,2025-03-10 04:29:30,52.0,Grocery,623.0,"Fast delivery, great service!",5.0,Yes,No
ORD000117,CUST2827,Blinkit,2025-03-10 08:29:30,12.0,Dairy,599.0,"Fast delivery, great service!",5.0,No,No
ORD000119,CUST8123,JioMart,2025-03-10 02:29:30,9.0,Personal Care,931.0,Items missing from order.,2.0,No,Yes
ORD000123,CUST5315,Swiggy Instamart,2025-03-10 04:29:30,27.0,Dairy,436.0,Very satisfied with the service.,5.0,No,No
ORD000125,CUST3927,JioMart,2025-03-10 14:29:30,30.0,Snacks,418.0,Packaging could be better.,3.0,No,No
ORD000127,CUST2743,JioMart,2025-03-10 01:29:30,20.0,Fruits & Vegetables,230.0,"Easy to order, loved it!",5.0,No,No
ORD000131,CUST3504,JioMart,2025-03-10 07:29:30,24.0,Beverages,734.0,"Horrible experience, never ordering again.",1.0,No,Yes
ORD000132,CUST7126,Blinkit,2025-03-10 14:29:30,50.0,Personal Care,1010.0,Packaging could be better.,3.0,Yes,No
